,cell_type,time,tf,expression,type
0,cell_type_0,0.0,SPSB1,0.046167150139808655,ground_truth
1,cell_type_0,0.0,ADGRL2,0.2277497947216034,ground_truth
2,cell_type_0,0.0,MPZL1,0.70046067237854,ground_truth
3,cell_type_0,0.0,LINC00467,0.03664999455213547,ground_truth
4,cell_type_0,0.0,CHRM3,0.14402101933956146,ground_truth
5,cell_type_0,0.0,MAP4K3-DT,0.14894652366638184,ground_truth
6,cell_type_0,0.0,LINC01793,0.01171744242310524,ground_truth
7,cell_type_0,0.0,CTNNA2,0.5971903800964355,ground_truth
8,cell_type_0,0.0,NCKAP5,0.7063955068588257,ground_truth
9,cell_type_0,0.0,GALNT13,0.07385244965553284,ground_truth
10,cell_type_0,0.0,OSBPL6,0.21111178398132324,ground_truth
11,cell_type_0,0.0,CALCRL,-0.006565652787685394,ground_truth
12,cell_type_0,0.0,COL4A4,-0.015184393152594566,ground_truth
13,cell_type_0,0.0,RBMS3,0.12243545055389404,ground_truth
14,cell_type_0,0.0,PFKFB4,0.035041727125644684,ground_truth
15,cell_type_0,0.0,HESX1,0.0035656969994306564,ground_truth
16,cell_type_0,0.0,ROBO1,0.26054924726486206,ground_truth
17,cell_type_0,0.0,LSAMP,0.5438782572746277,ground_truth
18,cell_type_0,0.0,NAALADL2,0.5498007535934448,ground_truth
19,cell_type_0,0.0,DCAF4L1,-0.00243547884747386,ground_truth
20,cell_type_0,0.0,CENPE,0.03780858963727951,ground_truth
21,cell_type_0,0.0,NDUFC1,0.09552837908267975,ground_truth
22,cell_type_0,0.0,SH3RF1,0.2205527424812317,ground_truth
23,cell_type_0,0.0,ANKH,0.11836400628089905,ground_truth
24,cell_type_0,0.0,LINC02109,-0.0023326193913817406,ground_truth
25,cell_type_0,0.0,PLK2,0.06197939068078995,ground_truth
26,cell_type_0,0.0,ZNF366,0.006974363699555397,ground_truth
27,cell_type_0,0.0,MEF2C-AS1,0.1578654646873474,ground_truth
28,cell_type_0,0.0,ADAMTS19,0.025010783225297928,ground_truth
29,cell_type_0,0.0,SQSTM1,0.13922792673110962,ground_truth
30,cell_type_0,0.0,HLA-DRA,0.562875509262085,ground_truth
31,cell_type_0,0.0,PTCHD4,0.10605573654174805,ground_truth
32,cell_type_0,0.0,MEI4,0.07972535490989685,ground_truth
33,cell_type_0,0.0,SOBP,0.03282265365123749,ground_truth
34,cell_type_0,0.0,HS3ST5,0.014725998044013977,ground_truth
35,cell_type_0,0.0,PLEKHG1,0.14380326867103577,ground_truth
36,cell_type_0,0.0,THSD7A,0.07330285012722015,ground_truth
37,cell_type_0,0.0,CYCS,0.19407305121421814,ground_truth
38,cell_type_0,0.0,EPDR1,0.035171255469322205,ground_truth
39,cell_type_0,0.0,AUTS2,1.1632318496704102,ground_truth
40,cell_type_0,0.0,EFCAB10,0.0015882616862654686,ground_truth
41,cell_type_0,0.0,CADPS2,0.25965356826782227,ground_truth
42,cell_type_0,0.0,CNTNAP2,0.5857841372489929,ground_truth
43,cell_type_0,0.0,DLC1,0.11464469134807587,ground_truth
44,cell_type_0,0.0,NKAIN3,0.0546337254345417,ground_truth
45,cell_type_0,0.0,TRPS1,0.9003860354423523,ground_truth
46,cell_type_0,0.0,CYHR1,0.08037447184324265,ground_truth
47,cell_type_0,0.0,NFIB,0.07500781863927841,ground_truth
48,cell_type_0,0.0,MOB3B,0.22881010174751282,ground_truth
49,cell_type_0,0.0,ABCA1,0.009275078773498535,ground_truth
50,cell_type_0,0.0,OPTN,0.055723775178194046,ground_truth
51,cell_type_0,0.0,PCDH15,0.05921032279729843,ground_truth
52,cell_type_0,0.0,LINC02653,0.007687685079872608,ground_truth
53,cell_type_0,0.0,TCF7L2,0.4595654010772705,ground_truth
54,cell_type_0,0.0,BNIP3,-0.020032979547977448,ground_truth
55,cell_type_0,0.0,NELL1,0.15339092910289764,ground_truth
56,cell_type_0,0.0,MS4A4A,0.22951637208461761,ground_truth
57,cell_type_0,0.0,TENM4,0.8064884543418884,ground_truth
58,cell_type_0,0.0,FAT3,0.13109154999256134,ground_truth
59,cell_type_0,0.0,DSCAML1,0.10186407715082169,ground_truth
60,cell_type_0,0.0,RASSF8,0.5535296201705933,ground_truth
61,cell_type_0,0.0,C12orf40,0.0728018581867218,ground_truth
62,cell_type_0,0.0,TRHDE,0.03898860514163971,ground_truth
63,cell_type_0,0.0,RFX4,0.037599217146635056,ground_truth
64,cell_type_0,0.0,OBI1-AS1,0.00018140673637390137,ground_truth
65,cell_type_0,0.0,CLYBL,0.3655991554260254,ground_truth
66,cell_type_0,0.0,RAB20,0.19681502878665924,ground_truth
67,cell_type_0,0.0,NRXN3,0.5848016142845154,ground_truth
68,cell_type_0,0.0,CLMN,0.03684011846780777,ground_truth
69,cell_type_0,0.0,ALDH1A2,0.11185324937105179,ground_truth
70,cell_type_0,0.0,THAP10,0.012429866939783096,ground_truth
71,cell_type_0,0.0,LINC02254,0.009681461378932,ground_truth
72,cell_type_0,0.0,IQCK,0.030607642605900764,ground_truth
73,cell_type_0,0.0,LINC01572,0.05716996639966965,ground_truth
74,cell_type_0,0.0,PLCG2,2.095475435256958,ground_truth
75,cell_type_0,0.0,CHRNE,0.027893126010894775,ground_truth
76,cell_type_0,0.0,BCAS3,0.6726726293563843,ground_truth
77,cell_type_0,0.0,MIR924HG,0.002522975206375122,ground_truth
78,cell_type_0,0.0,CBLN2,0.047212451696395874,ground_truth
79,cell_type_0,0.0,CACNA1A,0.5728818774223328,ground_truth
80,cell_type_0,0.0,APOC1,0.13375887274742126,ground_truth
81,cell_type_0,0.0,KPTN,0.02973135933279991,ground_truth
82,cell_type_0,0.0,MIR646HG,0.7733656764030457,ground_truth
83,cell_type_0,0.0,ATP5PF,0.1029096320271492,ground_truth
84,cell_type_0,0.0,UQCR10,0.09754118323326111,ground_truth
85,cell_type_0,0.0,PRDX4,0.0422222763299942,ground_truth
86,cell_type_1,0.0,SPSB1,0.05113990232348442,ground_truth
87,cell_type_1,0.0,ADGRL2,0.3284565210342407,ground_truth
88,cell_type_1,0.0,MPZL1,0.8957036733627319,ground_truth
89,cell_type_1,0.0,LINC00467,0.039576590061187744,ground_truth
90,cell_type_1,0.0,CHRM3,0.4011252522468567,ground_truth
91,cell_type_1,0.0,MAP4K3-DT,0.1269446760416031,ground_truth
92,cell_type_1,0.0,LINC01793,0.012884681113064289,ground_truth
93,cell_type_1,0.0,CTNNA2,0.7798963785171509,ground_truth
94,cell_type_1,0.0,NCKAP5,1.2344586849212646,ground_truth
95,cell_type_1,0.0,GALNT13,0.1816488802433014,ground_truth
96,cell_type_1,0.0,OSBPL6,0.4185761511325836,ground_truth
97,cell_type_1,0.0,CALCRL,0.01093672402203083,ground_truth
98,cell_type_1,0.0,COL4A4,0.0015588831156492233,ground_truth
99,cell_type_1,0.0,RBMS3,0.2074631303548813,ground_truth
100,cell_type_1,0.0,PFKFB4,0.1601998507976532,ground_truth
101,cell_type_1,0.0,HESX1,0.026852359995245934,ground_truth
102,cell_type_1,0.0,ROBO1,0.30690768361091614,ground_truth
103,cell_type_1,0.0,LSAMP,0.9715028405189514,ground_truth
104,cell_type_1,0.0,NAALADL2,0.4989943504333496,ground_truth
105,cell_type_1,0.0,DCAF4L1,-0.0009838957339525223,ground_truth
106,cell_type_1,0.0,CENPE,0.013265322893857956,ground_truth
107,cell_type_1,0.0,NDUFC1,0.10966351628303528,ground_truth
108,cell_type_1,0.0,SH3RF1,0.5200295448303223,ground_truth
109,cell_type_1,0.0,ANKH,0.43531063199043274,ground_truth
110,cell_type_1,0.0,LINC02109,0.011418255977332592,ground_truth
111,cell_type_1,0.0,PLK2,0.04733259975910187,ground_truth
112,cell_type_1,0.0,ZNF366,0.007718843407928944,ground_truth
113,cell_type_1,0.0,MEF2C-AS1,0.4909151494503021,ground_truth
114,cell_type_1,0.0,ADAMTS19,0.1042763739824295,ground_truth
115,cell_type_1,0.0,SQSTM1,0.25157463550567627,ground_truth
116,cell_type_1,0.0,HLA-DRA,0.8591417074203491,ground_truth
117,cell_type_1,0.0,PTCHD4,0.11402186751365662,ground_truth
118,cell_type_1,0.0,MEI4,0.08832098543643951,ground_truth
119,cell_type_1,0.0,SOBP,0.13804686069488525,ground_truth
120,cell_type_1,0.0,HS3ST5,0.033656347543001175,ground_truth
121,cell_type_1,0.0,PLEKHG1,0.06976872682571411,ground_truth
122,cell_type_1,0.0,THSD7A,0.13458773493766785,ground_truth
123,cell_type_1,0.0,CYCS,0.18265429139137268,ground_truth
124,cell_type_1,0.0,EPDR1,0.019575513899326324,ground_truth
125,cell_type_1,0.0,AUTS2,1.3977305889129639,ground_truth
126,cell_type_1,0.0,EFCAB10,0.01355285756289959,ground_truth
127,cell_type_1,0.0,CADPS2,0.5688249468803406,ground_truth
128,cell_type_1,0.0,CNTNAP2,1.2832155227661133,ground_truth
129,cell_type_1,0.0,DLC1,0.12461107224225998,ground_truth
130,cell_type_1,0.0,NKAIN3,0.058050356805324554,ground_truth
131,cell_type_1,0.0,TRPS1,1.0840634107589722,ground_truth
132,cell_type_1,0.0,CYHR1,0.15554293990135193,ground_truth
133,cell_type_1,0.0,NFIB,0.13405682146549225,ground_truth
134,cell_type_1,0.0,MOB3B,0.18511898815631866,ground_truth
135,cell_type_1,0.0,ABCA1,0.457872599363327,ground_truth
136,cell_type_1,0.0,OPTN,0.06432037800550461,ground_truth
137,cell_type_1,0.0,PCDH15,0.09762221574783325,ground_truth
138,cell_type_1,0.0,LINC02653,0.007313570007681847,ground_truth
139,cell_type_1,0.0,TCF7L2,0.414901465177536,ground_truth
140,cell_type_1,0.0,BNIP3,0.09225209057331085,ground_truth
141,cell_type_1,0.0,NELL1,0.18954646587371826,ground_truth
142,cell_type_1,0.0,MS4A4A,0.3773406744003296,ground_truth
143,cell_type_1,0.0,TENM4,0.8144838213920593,ground_truth
144,cell_type_1,0.0,FAT3,0.18382257223129272,ground_truth
145,cell_type_1,0.0,DSCAML1,0.14581431448459625,ground_truth
146,cell_type_1,0.0,RASSF8,1.3196518421173096,ground_truth
147,cell_type_1,0.0,C12orf40,0.15824562311172485,ground_truth
148,cell_type_1,0.0,TRHDE,0.15621520578861237,ground_truth
149,cell_type_1,0.0,RFX4,0.035086214542388916,ground_truth
150,cell_type_1,0.0,OBI1-AS1,0.017003923654556274,ground_truth
151,cell_type_1,0.0,CLYBL,0.3720146715641022,ground_truth
152,cell_type_1,0.0,RAB20,0.298318475484848,ground_truth
153,cell_type_1,0.0,NRXN3,1.1418018341064453,ground_truth
154,cell_type_1,0.0,CLMN,0.037618689239025116,ground_truth
155,cell_type_1,0.0,ALDH1A2,0.14652207493782043,ground_truth
156,cell_type_1,0.0,THAP10,0.00499353464692831,ground_truth
157,cell_type_1,0.0,LINC02254,0.020372508093714714,ground_truth
158,cell_type_1,0.0,IQCK,0.040069229900836945,ground_truth
159,cell_type_1,0.0,LINC01572,0.10549277067184448,ground_truth
160,cell_type_1,0.0,PLCG2,1.6465871334075928,ground_truth
161,cell_type_1,0.0,CHRNE,0.04058343172073364,ground_truth
162,cell_type_1,0.0,BCAS3,0.6796892881393433,ground_truth
163,cell_type_1,0.0,MIR924HG,0.014188559725880623,ground_truth
164,cell_type_1,0.0,CBLN2,0.1631486564874649,ground_truth
165,cell_type_1,0.0,CACNA1A,0.8313267230987549,ground_truth
166,cell_type_1,0.0,APOC1,0.33733314275741577,ground_truth
167,cell_type_1,0.0,KPTN,0.02445131354033947,ground_truth
168,cell_type_1,0.0,MIR646HG,1.5789732933044434,ground_truth
169,cell_type_1,0.0,ATP5PF,0.1553979218006134,ground_truth
170,cell_type_1,0.0,UQCR10,0.1538247913122177,ground_truth
171,cell_type_1,0.0,PRDX4,0.09504637122154236,ground_truth
172,cell_type_2,0.0,SPSB1,0.015473952516913414,ground_truth
173,cell_type_2,0.0,ADGRL2,0.32640111446380615,ground_truth
174,cell_type_2,0.0,MPZL1,0.8013001680374146,ground_truth
175,cell_type_2,0.0,LINC00467,0.030378002673387527,ground_truth
176,cell_type_2,0.0,CHRM3,0.28300461173057556,ground_truth
177,cell_type_2,0.0,MAP4K3-DT,0.16011875867843628,ground_truth
178,cell_type_2,0.0,LINC01793,0.01578627899289131,ground_truth
179,cell_type_2,0.0,CTNNA2,0.7521962523460388,ground_truth
180,cell_type_2,0.0,NCKAP5,0.9154413938522339,ground_truth
181,cell_type_2,0.0,GALNT13,0.11157635599374771,ground_truth
182,cell_type_2,0.0,OSBPL6,0.26863405108451843,ground_truth
183,cell_type_2,0.0,CALCRL,0.0072560859844088554,ground_truth
184,cell_type_2,0.0,COL4A4,0.0010651219636201859,ground_truth
185,cell_type_2,0.0,RBMS3,0.1947290003299713,ground_truth
186,cell_type_2,0.0,PFKFB4,0.0057318806648254395,ground_truth
187,cell_type_2,0.0,HESX1,-0.005559941753745079,ground_truth
188,cell_type_2,0.0,ROBO1,0.3507094085216522,ground_truth
189,cell_type_2,0.0,LSAMP,0.864199697971344,ground_truth
190,cell_type_2,0.0,NAALADL2,0.5646767616271973,ground_truth
191,cell_type_2,0.0,DCAF4L1,0.0013938816264271736,ground_truth
192,cell_type_2,0.0,CENPE,0.037464484572410583,ground_truth
193,cell_type_2,0.0,NDUFC1,0.07553698867559433,ground_truth
194,cell_type_2,0.0,SH3RF1,0.23530125617980957,ground_truth
195,cell_type_2,0.0,ANKH,0.1802085041999817,ground_truth
196,cell_type_2,0.0,LINC02109,0.015190540812909603,ground_truth
197,cell_type_2,0.0,PLK2,0.06436248868703842,ground_truth
198,cell_type_2,0.0,ZNF366,0.005850552581250668,ground_truth
199,cell_type_2,0.0,MEF2C-AS1,0.20904701948165894,ground_truth
200,cell_type_2,0.0,ADAMTS19,0.05588066205382347,ground_truth
201,cell_type_2,0.0,SQSTM1,0.20538084208965302,ground_truth
202,cell_type_2,0.0,HLA-DRA,0.25696682929992676,ground_truth
203,cell_type_2,0.0,PTCHD4,0.1760854870080948,ground_truth
204,cell_type_2,0.0,MEI4,0.060878366231918335,ground_truth
205,cell_type_2,0.0,SOBP,0.059678517282009125,ground_truth
